Price,Close,Dividends,High,Low,Open,Stock Splits,Volume
Ticker,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI,^GDAXI
Date,,,,,,,
2016-05-04,9828.25,0.0,9959.419921875,9812.73046875,9925.25,0.0,102911700
2016-05-05,9851.8603515625,0.0,9921.3701171875,9805.5498046875,9849.7001953125,0.0,71084400
2016-05-06,9869.9501953125,0.0,9917.6298828125,9737.0,9805.3896484375,0.0,87146300
2016-05-09,9980.490234375,0.0,10068.5302734375,9878.7099609375,9929.1904296875,0.0,80186000
2016-05-10,10045.4404296875,0.0,10106.9296875,9994.580078125,10057.5302734375,0.0,83009900
2016-05-11,9975.3203125,0.0,10055.7001953125,9950.1103515625,10055.400390625,0.0,97288300
2016-05-12,9862.1201171875,0.0,10078.1904296875,9838.1201171875,9899.900390625,0.0,103137100
2016-05-13,9952.900390625,0.0,9979.9296875,9767.9404296875,9794.830078125,0.0,85100100
2016-05-17,9890.1904296875,0.0,10080.3095703125,9846.91015625,10016.7900390625,0.0,98583200
2016-05-18,9943.23046875,0.0,9946.26953125,9811.8603515625,9828.0498046875,0.0,76853600
2016-05-19,9795.8896484375,0.0,9899.8603515625,9773.7197265625,9847.6396484375,0.0,93387300
2016-05-20,9916.01953125,0.0,9921.58984375,9852.7099609375,9878.490234375,0.0,78255500
2016-05-23,9842.2900390625,0.0,9971.740234375,9811.740234375,9891.3798828125,0.0,76899500
2016-05-24,10057.3095703125,0.0,10077.650390625,9773.7998046875,9798.9404296875,0.0,85241400
2016-05-25,10205.2099609375,0.0,10233.0595703125,10130.6796875,10143.3701171875,0.0,97691100
2016-05-26,10272.7099609375,0.0,10286.23046875,10207.08984375,10213.8701171875,0.0,74689600
2016-05-27,10286.3095703125,0.0,10298.759765625,10241.98046875,10257.91015625,0.0,62475500
2016-05-30,10333.23046875,0.0,10338.41015625,10286.330078125,10293.4296875,0.0,35396900
2016-05-31,10262.740234375,0.0,10365.240234375,10243.2197265625,10356.1396484375,0.0,91591200
2016-06-01,10204.4404296875,0.0,10283.8203125,10160.240234375,10242.7802734375,0.0,79532000
2016-06-02,10208.0,0.0,10241.75,10156.8603515625,10199.2001953125,0.0,63118000
2016-06-03,10103.259765625,0.0,10282.7197265625,10040.8701171875,10237.580078125,0.0,83303400
2016-06-06,10121.080078125,0.0,10148.9599609375,10092.8603515625,10105.08984375,0.0,55122000
2016-06-07,10287.6796875,0.0,10312.5302734375,10183.1904296875,10196.169921875,0.0,78493400
2016-06-08,10217.0302734375,0.0,10266.3701171875,10177.4404296875,10246.490234375,0.0,75767900
2016-06-09,10088.8701171875,0.0,10187.0703125,10050.0302734375,10184.48046875,0.0,108383500
2016-06-10,9834.6201171875,0.0,10026.490234375,9819.1201171875,10024.6904296875,0.0,109159600
2016-06-13,9657.4404296875,0.0,9755.23046875,9657.4404296875,9715.7802734375,0.0,102325200
2016-06-14,9519.2001953125,0.0,9620.83984375,9507.509765625,9595.169921875,0.0,102835400
2016-06-15,9606.7099609375,0.0,9665.2099609375,9567.150390625,9589.4697265625,0.0,95301400
2016-06-16,9550.4697265625,0.0,9582.3798828125,9432.8701171875,9480.4296875,0.0,101528000
2016-06-17,9631.3603515625,0.0,9705.2900390625,9578.150390625,9620.919921875,0.0,145900500
2016-06-20,9962.01953125,0.0,9996.5595703125,9850.58984375,9850.58984375,0.0,94347700
2016-06-21,10015.5400390625,0.0,10051.0703125,9930.099609375,9943.83984375,0.0,83050100
2016-06-22,10071.0595703125,0.0,10149.8095703125,10043.6796875,10084.740234375,0.0,80461200
2016-06-23,10257.0302734375,0.0,10340.83984375,10104.919921875,10122.4697265625,0.0,110233000
2016-06-24,9557.16015625,0.0,9720.1201171875,9226.150390625,9237.6201171875,0.0,325189500
2016-06-27,9268.66015625,0.0,9589.2802734375,9214.099609375,9516.919921875,0.0,209916500
2016-06-28,9447.2802734375,0.0,9554.41015625,9419.3798828125,9458.3798828125,0.0,136518900
2016-06-29,9612.26953125,0.0,9640.3896484375,9506.2900390625,9557.6904296875,0.0,115823900
2016-06-30,9680.08984375,0.0,9695.58984375,9513.51953125,9566.0703125,0.0,136896600
2016-07-01,9776.1201171875,0.0,9806.4697265625,9657.6298828125,9742.83984375,0.0,101971100
2016-07-04,9709.08984375,0.0,9808.990234375,9701.150390625,9797.66015625,0.0,79934200
2016-07-05,9532.6103515625,0.0,9659.41015625,9506.83984375,9656.0498046875,0.0,97702100
2016-07-06,9373.259765625,0.0,9530.58984375,9304.009765625,9449.5703125,0.0,134692400
2016-07-07,9418.7802734375,0.0,9507.91015625,9399.6904296875,9437.4697265625,0.0,91497000
2016-07-08,9629.66015625,0.0,9655.919921875,9389.0498046875,9392.2001953125,0.0,97029700
2016-07-11,9833.41015625,0.0,9841.8603515625,9690.1796875,9744.7998046875,0.0,80795500
2016-07-12,9964.0703125,0.0,10013.490234375,9841.1103515625,9850.400390625,0.0,101659000
2016-07-13,9930.7099609375,0.0,10001.8701171875,9919.41015625,9941.990234375,0.0,96306000
2016-07-14,10068.2998046875,0.0,10109.8603515625,9984.5498046875,10058.490234375,0.0,100410000
2016-07-15,10066.900390625,0.0,10098.75,9987.0498046875,10031.1796875,0.0,89992500
2016-07-18,10063.1298828125,0.0,10160.2998046875,10011.83984375,10079.0302734375,0.0,70742900
2016-07-19,9981.240234375,0.0,10050.76953125,9923.6396484375,10038.9501953125,0.0,69292500
2016-07-20,10142.009765625,0.0,10146.7099609375,9991.650390625,10054.5400390625,0.0,79709200
2016-07-21,10156.2099609375,0.0,10195.650390625,10090.1201171875,10195.400390625,0.0,97531500
2016-07-22,10147.4599609375,0.0,10181.240234375,10073.2802734375,10130.509765625,0.0,62724900
2016-07-25,10198.240234375,0.0,10264.0595703125,10125.2197265625,10155.2001953125,0.0,58553200
2016-07-26,10247.759765625,0.0,10275.41015625,10150.0,10199.66015625,0.0,79527300
2016-07-27,10319.5498046875,0.0,10352.3203125,10298.400390625,10314.4296875,0.0,85864200
2016-07-28,10274.9296875,0.0,10381.900390625,10264.3896484375,10309.919921875,0.0,95731500
2016-07-29,10337.5,0.0,10355.3095703125,10287.3203125,10320.8203125,0.0,94143200
2016-08-01,10330.51953125,0.0,10459.33984375,10277.3701171875,10426.3603515625,0.0,84752800
2016-08-02,10144.33984375,0.0,10330.6396484375,10128.98046875,10328.8701171875,0.0,124503800
2016-08-03,10170.2099609375,0.0,10189.150390625,10092.5302734375,10150.1298828125,0.0,89966300
2016-08-04,10227.8603515625,0.0,10282.169921875,10182.400390625,10237.080078125,0.0,79200100
